model,dataset,split,accuracy,precision_binary,recall_binary,f1_binary,macro_f1,epochs,batch_size,learning_rate,max_length,seed
banglabert,banglasarc3_binary,test,0.7356608478802993,0.7192575406032483,0.773067331670823,0.7451923076923077,0.7352904543642886,2,8,2e-05,128,42
banglabert,banglasarc3_binary,validation,0.7630922693266833,0.7617866004962779,0.7655860349127181,0.763681592039801,0.7630907960199005,2,8,2e-05,128,42
banglabert,banglasarc_binary,test,0.9765625,0.9842105263157894,0.9540816326530612,0.9689119170984456,0.9750515698344893,2,8,2e-05,128,42
banglabert,banglasarc_binary,validation,0.9804305283757339,0.9695431472081218,0.9794871794871794,0.9744897959183674,0.9793083900226758,2,8,2e-05,128,42
banglabert,ben_sarc_binary,test,0.7964118564742589,0.8350970017636684,0.7386895475819033,0.7839403973509934,0.7957312606223994,2,8,2e-05,128,42
banglabert,ben_sarc_binary,validation,0.7925117004680188,0.8135451505016722,0.7589703588143526,0.7853107344632768,0.7922780087410723,2,8,2e-05,128,42
