dataset,model,test_accuracy,test_macro_f1,test_f1_binary
banglasarc3_binary,banglabert,0.7356608478802993,0.7352904543642886,0.7451923076923077
banglasarc3_binary,banglabert_fgm,0.7456359102244389,0.7454443614637789,0.7524271844660194
banglasarc3_binary,tfidf_logreg,0.6708229426433915,0.6706918755482558,0.6641221374045801
banglasarc_binary,banglabert,0.9765625,0.9750515698344892,0.9689119170984456
banglasarc_binary,tfidf_logreg,0.888671875,0.8806160643063141,0.8496042216358839
ben_sarc_binary,banglabert,0.7964118564742589,0.7957312606223994,0.7839403973509934
ben_sarc_binary,banglabert_fgm,0.8096723868954758,0.8096111065462768,0.8061953931691819
ben_sarc_binary,tfidf_logreg,0.6645865834633385,0.6645833181219685,0.6635367762128326
