source_dataset,target_dataset,accuracy,macro_f1,f1_binary,in_domain_accuracy,in_domain_macro_f1,macro_f1_generalization_gap,accuracy_generalization_gap,model
ben_sarc_binary,banglasarc3_binary,0.669576059850374,0.668126703050461,0.6461949265687583,0.7356608478802993,0.7352904543642886,0.0671637513138276,0.0660847880299252,banglabert
banglasarc3_binary,ben_sarc_binary,0.6852574102964119,0.6849583311446431,0.6946651532349603,0.7964118564742589,0.7957312606223994,0.1107729294777563,0.111154446177847,banglabert
banglasarc3_binary,ben_sarc_binary,0.6591263650546022,0.656113346804786,0.68830242510699,,,,,banglabert_fgm
